id,candidate_id,job_id,prospect,status,current_stage_id,source_id,credited_to_id,recruiter_id,coordinator_id,rejection_reason_id,job_post_id,location_address,applied_at,rejected_at,hired_at,last_activity_at,created_at,updated_at
72,100072,129,False,active,99,30,5,5,2,,,"Rockford, IL",2024-11-11T00:00:00Z,,,2024-12-22T00:00:00Z,2024-11-09T19:00:00Z,2024-12-29T00:00:00Z
73,100073,213,False,hired,1082,8,7,7,2,,,"Detroit, MI",2025-01-28T00:00:00Z,,2025-04-15T00:00:00Z,2025-05-03T00:00:00Z,2025-01-26T17:00:00Z,2025-05-17T00:00:00Z
74,100074,130,False,rejected,720,2,5,5,10,8.0,,"Grand Rapids, MI",2024-09-03T00:00:00Z,2024-10-28T00:00:00Z,,2024-12-25T00:00:00Z,2024-09-01T17:00:00Z,2025-01-16T00:00:00Z
75,100075,204,False,active,887,20,9,9,10,,,"South Bend, IN",2025-01-09T00:00:00Z,,,2025-03-18T00:00:00Z,2025-01-08T16:00:00Z,2025-03-30T00:00:00Z
76,100076,232,False,active,1596,10,1,1,10,,,"Milwaukee, WI",2025-06-01T00:00:00Z,,,2025-07-25T00:00:00Z,2025-05-31T23:00:00Z,2025-08-01T00:00:00Z
77,100077,106,False,active,203,3,5,5,2,,,"South Bend, IN",2025-05-08T00:00:00Z,,,2025-06-01T00:00:00Z,2025-05-06T00:00:00Z,2025-06-14T00:00:00Z
78,100078,7,False,rejected,1305,9,7,7,10,2.0,,"Fort Wayne, IN",2024-08-03T00:00:00Z,2024-08-21T00:00:00Z,,2024-09-02T00:00:00Z,2024-08-01T10:00:00Z,2024-09-21T00:00:00Z
79,100079,213,False,active,1191,1,7,7,6,,,"Madison, WI",2025-05-11T00:00:00Z,,,2025-05-31T00:00:00Z,2025-05-10T04:00:00Z,2025-06-05T00:00:00Z
80,100080,81,False,rejected,447,33,7,7,2,7.0,,"Chicago, IL",2024-05-15T00:00:00Z,2024-07-01T00:00:00Z,,2024-06-26T00:00:00Z,2024-05-13T05:00:00Z,2024-07-18T00:00:00Z
81,100081,255,False,active,772,10,9,9,2,,,"Fort Wayne, IN",2024-01-25T00:00:00Z,,,2024-03-21T00:00:00Z,2024-01-23T07:00:00Z,2024-04-07T00:00:00Z
82,100082,139,False,rejected,720,29,1,1,2,4.0,,"Detroit, MI",2024-04-01T00:00:00Z,2024-05-17T00:00:00Z,,2024-06-29T00:00:00Z,2024-03-30T06:00:00Z,2024-07-09T00:00:00Z
83,100083,214,False,active,430,28,7,7,10,,,"Madison, WI",2024-01-01T00:00:00Z,,,2024-01-04T00:00:00Z,2023-12-31T03:00:00Z,2024-02-03T00:00:00Z
84,100084,110,False,rejected,192,26,1,1,10,6.0,,"Ann Arbor, MI",2025-06-28T00:00:00Z,2025-07-04T00:00:00Z,,2025-07-14T00:00:00Z,2025-06-27T03:00:00Z,2025-08-09T00:00:00Z
85,100085,207,False,active,1153,27,7,7,6,,,"Rockford, IL",2024-08-06T00:00:00Z,,,2024-11-10T00:00:00Z,2024-08-04T17:00:00Z,2024-11-22T00:00:00Z
86,100086,30,False,active,832,13,5,5,2,,,"Green Bay, WI",2025-11-17T00:00:00Z,,,2026-03-10T00:00:00Z,2025-11-15T09:00:00Z,2026-03-19T00:00:00Z
87,100087,236,False,active,920,6,1,1,6,,,"Rockford, IL",2024-12-28T00:00:00Z,,,2025-02-27T00:00:00Z,2024-12-27T22:00:00Z,2025-02-27T00:00:00Z
88,100088,299,False,rejected,333,16,9,9,2,6.0,,"Chicago, IL",2024-11-13T00:00:00Z,2024-12-31T00:00:00Z,,2024-11-22T00:00:00Z,2024-11-12T23:00:00Z,2024-11-23T00:00:00Z
89,100089,106,False,active,897,29,5,5,2,,,"Detroit, MI",2024-01-26T00:00:00Z,,,2024-04-15T00:00:00Z,2024-01-24T02:00:00Z,2024-05-13T00:00:00Z
90,100090,234,False,converted,333,3,9,9,6,,,"Detroit, MI",2025-06-26T00:00:00Z,,,2025-09-16T00:00:00Z,2025-06-25T17:00:00Z,2025-10-07T00:00:00Z
91,100091,16,False,rejected,882,15,7,7,6,2.0,,"Green Bay, WI",2025-10-17T00:00:00Z,2025-12-11T00:00:00Z,,2026-01-17T00:00:00Z,2025-10-16T10:00:00Z,2026-02-16T00:00:00Z
92,100092,172,False,rejected,770,9,9,9,6,2.0,,"Fort Wayne, IN",2025-09-15T00:00:00Z,2025-09-20T00:00:00Z,,2025-10-25T00:00:00Z,2025-09-14T15:00:00Z,2025-11-17T00:00:00Z
93,100093,158,False,hired,905,9,1,1,6,,,"Rockford, IL",2024-08-03T00:00:00Z,,2024-10-19T00:00:00Z,2024-11-25T00:00:00Z,2024-08-02T15:00:00Z,2024-12-04T00:00:00Z
94,100094,111,False,rejected,197,17,9,9,6,4.0,,"Madison, WI",2024-09-28T00:00:00Z,2024-10-12T00:00:00Z,,2024-12-17T00:00:00Z,2024-09-26T19:00:00Z,2024-12-31T00:00:00Z
95,100095,222,False,rejected,716,6,1,1,10,5.0,,"Detroit, MI",2024-07-01T00:00:00Z,2024-07-21T00:00:00Z,,2024-08-21T00:00:00Z,2024-06-29T21:00:00Z,2024-08-21T00:00:00Z
96,100096,172,False,active,355,26,9,9,10,,,"Chicago, IL",2024-02-04T00:00:00Z,,,2024-02-23T00:00:00Z,2024-02-03T19:00:00Z,2024-02-25T00:00:00Z
97,100097,82,False,rejected,754,8,5,5,6,5.0,,"Peoria, IL",2025-07-18T00:00:00Z,2025-08-12T00:00:00Z,,2025-10-18T00:00:00Z,2025-07-16T13:00:00Z,2025-11-10T00:00:00Z
98,100098,162,False,hired,893,19,1,1,10,,,"Grand Rapids, MI",2025-04-28T00:00:00Z,,2025-05-23T00:00:00Z,2025-05-14T00:00:00Z,2025-04-26T22:00:00Z,2025-05-18T00:00:00Z
99,100099,152,False,rejected,930,20,9,9,2,1.0,,"Detroit, MI",2024-12-20T00:00:00Z,2025-01-05T00:00:00Z,,2025-01-19T00:00:00Z,2024-12-18T17:00:00Z,2025-02-07T00:00:00Z
100,100100,139,False,active,1522,11,5,5,6,,,"Indianapolis, IN",2025-12-23T00:00:00Z,,,2026-01-19T00:00:00Z,2025-12-22T19:00:00Z,2026-02-06T00:00:00Z
101,100101,276,False,rejected,197,3,1,1,10,7.0,,"Fort Wayne, IN",2025-10-15T00:00:00Z,2025-12-10T00:00:00Z,,2025-10-21T00:00:00Z,2025-10-14T05:00:00Z,2025-10-31T00:00:00Z
102,100102,229,False,rejected,263,30,9,9,2,3.0,,"Grand Rapids, MI",2024-09-16T00:00:00Z,2024-09-26T00:00:00Z,,2024-11-29T00:00:00Z,2024-09-14T09:00:00Z,2024-12-13T00:00:00Z
103,100103,192,False,rejected,604,13,1,1,10,3.0,,"Green Bay, WI",2025-01-23T00:00:00Z,2025-01-26T00:00:00Z,,2025-01-31T00:00:00Z,2025-01-22T04:00:00Z,2025-02-08T00:00:00Z
104,100104,4,False,rejected,1057,21,5,5,6,6.0,,"Green Bay, WI",2024-02-03T00:00:00Z,2024-03-08T00:00:00Z,,2024-05-24T00:00:00Z,2024-02-01T03:00:00Z,2024-06-18T00:00:00Z
105,100105,243,False,rejected,632,13,9,9,2,7.0,,"Madison, WI",2025-08-09T00:00:00Z,2025-10-04T00:00:00Z,,2025-10-19T00:00:00Z,2025-08-08T03:00:00Z,2025-10-26T00:00:00Z
106,100106,158,False,rejected,1057,3,9,9,10,8.0,,"Milwaukee, WI",2024-03-27T00:00:00Z,2024-05-22T00:00:00Z,,2024-06-25T00:00:00Z,2024-03-25T07:00:00Z,2024-07-22T00:00:00Z
107,100107,82,False,rejected,720,30,7,7,6,4.0,,"Peoria, IL",2024-01-03T00:00:00Z,2024-01-27T00:00:00Z,,2024-04-20T00:00:00Z,2024-01-02T14:00:00Z,2024-05-19T00:00:00Z
108,100108,229,False,active,859,19,7,7,6,,,"Green Bay, WI",2025-01-12T00:00:00Z,,,2025-03-26T00:00:00Z,2025-01-10T08:00:00Z,2025-04-05T00:00:00Z
109,100109,175,False,rejected,102,21,5,5,6,2.0,,"Fort Wayne, IN",2025-06-03T00:00:00Z,2025-06-16T00:00:00Z,,2025-08-28T00:00:00Z,2025-06-02T10:00:00Z,2025-09-25T00:00:00Z
110,100110,247,False,hired,983,25,9,9,6,,,"Fort Wayne, IN",2025-08-30T00:00:00Z,,2025-09-17T00:00:00Z,2025-11-24T00:00:00Z,2025-08-28T21:00:00Z,2025-12-06T00:00:00Z
111,100111,5,False,hired,325,11,9,9,6,,,"South Bend, IN",2025-11-28T00:00:00Z,,2026-02-16T00:00:00Z,2026-01-06T00:00:00Z,2025-11-27T21:00:00Z,2026-01-14T00:00:00Z
112,100112,256,False,active,21,23,5,5,10,,,"Rockford, IL",2025-08-09T00:00:00Z,,,2025-08-14T00:00:00Z,2025-08-08T02:00:00Z,2025-08-15T00:00:00Z
113,100113,241,False,rejected,907,17,7,7,6,5.0,,"Detroit, MI",2025-09-26T00:00:00Z,2025-10-07T00:00:00Z,,2025-11-08T00:00:00Z,2025-09-24T10:00:00Z,2025-11-25T00:00:00Z
114,100114,245,False,active,128,26,5,5,10,,,"Milwaukee, WI",2025-06-15T00:00:00Z,,,2025-09-10T00:00:00Z,2025-06-14T13:00:00Z,2025-09-10T00:00:00Z
115,100115,65,False,hired,852,20,9,9,10,,,"Grand Rapids, MI",2024-05-13T00:00:00Z,,2024-07-14T00:00:00Z,2024-05-29T00:00:00Z,2024-05-12T03:00:00Z,2024-06-23T00:00:00Z
116,100116,255,False,active,728,21,7,7,6,,,"Madison, WI",2024-03-14T00:00:00Z,,,2024-07-07T00:00:00Z,2024-03-12T10:00:00Z,2024-07-22T00:00:00Z
117,100117,95,False,rejected,893,6,9,9,2,1.0,,"Peoria, IL",2024-12-26T00:00:00Z,2025-02-03T00:00:00Z,,2025-03-26T00:00:00Z,2024-12-24T06:00:00Z,2025-04-17T00:00:00Z
118,100118,197,False,active,720,17,9,9,10,,,"Milwaukee, WI",2025-02-23T00:00:00Z,,,2025-04-17T00:00:00Z,2025-02-21T10:00:00Z,2025-05-07T00:00:00Z
119,100119,123,False,rejected,109,25,1,1,10,3.0,,"Green Bay, WI",2025-11-21T00:00:00Z,2025-12-25T00:00:00Z,,2025-12-06T00:00:00Z,2025-11-20T02:00:00Z,2025-12-17T00:00:00Z
120,100120,288,False,active,720,32,7,7,6,,,"Peoria, IL",2025-10-14T00:00:00Z,,,2026-01-19T00:00:00Z,2025-10-12T14:00:00Z,2026-01-29T00:00:00Z
121,100121,21,False,rejected,632,9,1,1,2,2.0,,"Ann Arbor, MI",2025-09-07T00:00:00Z,2025-10-26T00:00:00Z,,2025-09-19T00:00:00Z,2025-09-05T09:00:00Z,2025-10-15T00:00:00Z
122,100122,82,False,active,64,27,5,5,6,,,"Rockford, IL",2025-05-13T00:00:00Z,,,2025-08-06T00:00:00Z,2025-05-11T09:00:00Z,2025-08-30T00:00:00Z
123,100123,276,False,rejected,1214,29,7,7,10,3.0,,"Green Bay, WI",2025-05-28T00:00:00Z,2025-06-27T00:00:00Z,,2025-06-28T00:00:00Z,2025-05-26T09:00:00Z,2025-07-27T00:00:00Z
124,100124,158,False,active,705,17,5,5,2,,,"Green Bay, WI",2025-05-23T00:00:00Z,,,2025-08-06T00:00:00Z,2025-05-22T08:00:00Z,2025-08-18T00:00:00Z
125,100125,179,False,rejected,1448,25,9,9,6,4.0,,"Rockford, IL",2025-04-19T00:00:00Z,2025-04-21T00:00:00Z,,2025-04-26T00:00:00Z,2025-04-17T13:00:00Z,2025-05-10T00:00:00Z
126,100126,24,False,hired,1098,24,7,7,2,,,"Fort Wayne, IN",2025-01-06T00:00:00Z,,2025-02-21T00:00:00Z,2025-03-02T00:00:00Z,2025-01-05T21:00:00Z,2025-03-19T00:00:00Z
127,100127,14,False,rejected,937,6,1,1,2,6.0,,"Madison, WI",2024-12-21T00:00:00Z,2025-01-25T00:00:00Z,,2025-03-03T00:00:00Z,2024-12-19T12:00:00Z,2025-03-24T00:00:00Z
128,100128,133,False,active,829,16,1,1,6,,,"Grand Rapids, MI",2024-01-22T00:00:00Z,,,2024-02-01T00:00:00Z,2024-01-21T15:00:00Z,2024-02-22T00:00:00Z
129,100129,191,False,rejected,381,31,9,9,2,2.0,,"Detroit, MI",2024-11-23T00:00:00Z,2024-12-18T00:00:00Z,,2025-01-31T00:00:00Z,2024-11-21T16:00:00Z,2025-03-01T00:00:00Z
130,100130,245,False,active,174,15,9,9,10,,,"Ann Arbor, MI",2025-05-05T00:00:00Z,,,2025-05-25T00:00:00Z,2025-05-04T08:00:00Z,2025-06-16T00:00:00Z
131,100131,109,False,active,1269,1,5,5,2,,,"Green Bay, WI",2024-05-13T00:00:00Z,,,2024-07-22T00:00:00Z,2024-05-11T07:00:00Z,2024-08-21T00:00:00Z
