cust_id,Segment_Name,Risk_Tier,Customer_Health_Score,Total_Spend,Recency_Days,Frequency_Visits,total_sessions,churn_probability,nps_score,tier_status,points_balance,primary_complaint,enrollment_date
L-10448,Loyalty Hoarder,Watchlist,65.544,1454.5,0,34,51,0.7228,7,Silver,2462,,3/19/2024
L-10449,Standard Active,Healthy,77.816,692.0,2,28,30,0.1092,7,Base,1979,,9/28/2023
L-10451,Standard Active,Healthy,78.19200000000001,1146.0,10,32,11,0.0904,7,Base,196,,12/7/2023
L-10498,Tech Frustrated,Healthy,78.588,535.0,0,26,48,0.0706,7,Silver,1338,,8/14/2024
L-10526,Loyalty Hoarder,Critical,35.688,504.0,3,18,0,0.7156,7,Silver,2488,,11/1/2023
L-10542,Standard Active,Healthy,76.568,702.0,2,31,39,0.1716,9,Silver,1756,None_Happy,7/28/2024
L-10574,Tech Frustrated,Healthy,75.392,541.0,2,27,47,0.2304,9,Silver,143,None_Happy,5/31/2023
L-10601,Tech Frustrated,Healthy,73.184,982.0,16,26,32,0.3408,7,Silver,641,,11/16/2023
L-10605,Loyalty Hoarder,Watchlist,62.156,990.5,3,29,23,0.8922,6,Base,3069,Price_Perception,11/2/2024
L-10612,Tech Frustrated,Healthy,72.452,535.0,1,26,32,0.3773999999999999,7,Silver,447,Price_Perception,5/9/2024
L-10652,Tech Frustrated,Healthy,78.66,387.0,5,25,33,0.067,7,Base,1098,,11/6/2024
L-10700,Digital Ghost,Watchlist,41.02,684.5,10,26,0,0.449,7,Silver,213,,11/10/2023
L-10749,Loyalty Hoarder,Healthy,74.468,374.5,8,22,9,0.1266,7,Silver,2242,,5/1/2024
L-10751,Tech Frustrated,Healthy,78.298,1010.0,3,37,26,0.0851,7,Base,12,,4/27/2023
L-10759,Tech Frustrated,Healthy,74.078,851.0,0,31,43,0.2961,6,Base,506,Out_of_Stock,11/11/2023
L-10761,Fading Champion,Healthy,74.11,848.5,22,31,27,0.2945,7,Base,2334,,7/14/2024
L-10782,Fading Champion,Healthy,72.04599999999999,958.0,23,20,13,0.3977,7,Silver,1726,,7/28/2023
L-10805,Digital Ghost,Watchlist,42.344,1290.5,5,32,0,0.3828,7,Base,1376,,11/15/2024
L-10817,Tech Frustrated,Healthy,76.012,676.5,5,26,52,0.1994,7,Silver,983,,6/2/2023
L-10866,Tech Frustrated,Healthy,70.592,552.0,2,30,9,0.3204,10,Base,1620,None_Happy,2/4/2023
L-10874,Loyalty Hoarder,Healthy,78.022,2055.0,5,39,21,0.0989,7,Base,2028,,8/26/2023
L-10878,Loyalty Hoarder,Healthy,75.836,986.0,2,29,22,0.2082,7,Base,2879,,11/19/2024
L-10894,Digital Ghost,Critical,33.628,549.0,1,30,0,0.8186,7,Base,362,,1/4/2023
L-10901,Tech Frustrated,Healthy,74.82,1272.5,7,28,27,0.259,7,Silver,743,,9/11/2024
L-10945,Digital Ghost,Watchlist,47.394,1436.0,0,32,0,0.1303,7,Silver,982,,5/23/2023
L-10950,Digital Ghost,Critical,31.994,562.0,4,32,0,0.9003,7,Base,938,,12/16/2023
L-11002,Standard Active,Healthy,79.57,1133.0,8,28,16,0.0215,7,Silver,1155,,7/18/2024
L-11007,Tech Frustrated,Healthy,77.08,850.5,8,32,43,0.146,7,Silver,721,,7/19/2023
L-11032,Loyalty Hoarder,Watchlist,44.502,1121.0,1,26,0,0.2749,10,Silver,2888,None_Happy,4/28/2024
L-11035,Digital Ghost,Watchlist,49.13,1136.5,9,30,0,0.0435,7,Silver,400,,4/15/2024
L-11044,Fading Champion,Watchlist,55.622,792.0,22,17,2,0.0189,7,Silver,3108,,7/3/2024
L-11066,Digital Ghost,Watchlist,47.162,571.5,3,34,0,0.1419,7,Silver,553,,6/16/2023
L-11077,Standard Active,Watchlist,66.356,979.0,3,28,10,0.6822,7,Base,1096,,8/18/2024
L-11111,Tech Frustrated,Healthy,73.072,1039.5,1,44,31,0.3464,7,Base,1164,,4/2/2024
L-11112,Tech Frustrated,Watchlist,66.056,1105.0,21,21,21,0.6972,0,Base,1719,App_Technical_Issue,1/30/2024
L-11123,Loyalty Hoarder,Healthy,79.24,843.0,1,30,32,0.038,7,Base,3105,,10/20/2023
L-11153,Digital Ghost,Critical,32.334,1151.0,1,33,0,0.8833,7,Silver,1070,,1/23/2024
L-11162,Tech Frustrated,Watchlist,60.2,1028.5,1,39,26,0.99,4,Base,457,App_Technical_Issue,2/8/2023
L-11187,Tech Frustrated,Healthy,76.106,1003.0,5,32,17,0.1947,7,Base,966,,7/23/2024
L-11189,Price Sensitive,Watchlist,60.2,667.5,8,22,26,0.99,5,Silver,1443,Price_Perception,7/10/2023
L-11226,Fading Champion,Healthy,77.752,1575.5,26,31,18,0.1124,7,Silver,687,,1/12/2024
L-11237,Tech Frustrated,Healthy,75.51,1453.0,3,37,28,0.2245,7,Base,1718,,3/18/2024
L-11240,Tech Frustrated,Healthy,74.922,221.0,6,21,38,0.2539,7,Base,486,,1/23/2024
L-11293,Tech Frustrated,Healthy,76.524,820.0,16,23,10,0.1738,7,Silver,624,,9/4/2023
L-11308,Fading Champion,Watchlist,69.262,660.5,25,19,43,0.5369,7,Silver,409,,10/23/2023
L-11312,Digital Ghost,Watchlist,46.404,673.0,16,26,0,0.1798,7,Silver,1873,,8/16/2024
L-11344,Loyalty Hoarder,Watchlist,62.087999999999994,1566.0,0,29,32,0.8956,7,Base,2006,,1/8/2023
L-11354,Digital Ghost,Watchlist,43.79,529.5,7,23,0,0.3105,7,Silver,1003,,5/9/2024
L-11359,Digital Ghost,Watchlist,49.79,1124.0,17,26,0,0.0105,7,Silver,2391,,11/4/2024
L-11361,Digital Ghost,Critical,36.594,510.5,6,20,0,0.6703,7,Base,613,,1/11/2024
L-11392,Loyalty Hoarder,Critical,36.866,530.0,14,26,0,0.6567,7,Gold,3210,,9/4/2023
L-11416,Tech Frustrated,Healthy,79.014,843.5,6,28,21,0.0493,7,Silver,1088,,9/7/2023
L-11446,Tech Frustrated,Watchlist,65.398,534.5,9,26,27,0.7301,7,Base,1046,,9/19/2024
L-11489,Tech Frustrated,Watchlist,67.8,983.0,5,29,30,0.61,7,Base,509,,6/20/2023
L-11500,Standard Active,Healthy,79.45,954.5,6,21,22,0.0275,7,Silver,706,,8/17/2024
L-11510,Digital Ghost,Watchlist,42.03,1121.0,14,25,0,0.3985,6,Base,553,Out_of_Stock,7/15/2023
L-11544,Loyalty Hoarder,Watchlist,60.51,833.5,17,30,8,0.6745,7,Base,2385,,12/3/2023
L-11573,Digital Ghost,Watchlist,44.536,847.0,2,31,0,0.2732,7,Base,747,,12/3/2023
L-11607,Loyalty Hoarder,Watchlist,47.63,347.0,11,14,0,0.1185,7,Silver,3143,,8/28/2024
L-11622,Tech Frustrated,Watchlist,66.822,811.5,6,21,32,0.6589,5,Silver,1483,App_Technical_Issue,8/3/2024
L-11629,Digital Ghost,Watchlist,45.44,557.0,5,31,0,0.228,7,Silver,2958,,7/23/2024
L-11634,Standard Active,Healthy,72.682,1002.5,8,32,14,0.3659,7,Gold,375,Out_of_Stock,3/10/2023
L-11643,Digital Ghost,Critical,30.238,842.0,2,28,0,0.9881,7,Silver,880,,11/13/2024
L-11656,Digital Ghost,Watchlist,49.022,1428.0,0,32,0,0.0489,7,Base,500,,1/15/2023
L-11659,Digital Ghost,Watchlist,47.174,1268.0,1,26,0,0.1413,7,Silver,1829,,8/22/2024
L-11686,Loyalty Hoarder,Watchlist,62.19799999999999,973.5,4,27,22,0.8901,7,Silver,4047,,9/8/2023
L-11725,Tech Frustrated,Healthy,74.674,983.5,5,27,28,0.2663,7,Silver,1560,,10/24/2024
L-11726,Tech Frustrated,Healthy,74.33,679.0,4,24,36,0.2835,7,Silver,514,,10/2/2024
L-11763,Digital Ghost,Watchlist,45.098,691.5,10,28,0,0.2451,7,Silver,442,,3/15/2023
L-11771,Tech Frustrated,Healthy,76.588,1141.0,10,30,30,0.1706,7,Base,925,,1/28/2024
L-11778,Tech Frustrated,Healthy,77.134,389.0,5,25,27,0.1433,7,Silver,1093,,5/23/2024
L-11781,Digital Ghost,Critical,34.14,820.0,9,24,0,0.793,7,Base,1094,,10/20/2023
L-11784,Tech Frustrated,Healthy,74.26,1424.0,3,28,36,0.287,7,Gold,2391,,3/26/2023
L-11796,Tech Frustrated,Healthy,74.056,413.5,8,33,32,0.2972,7,Silver,1649,,1/8/2023
L-11800,Tech Frustrated,Watchlist,66.158,1448.0,5,35,28,0.6920999999999999,1,Gold,1644,App_Technical_Issue,12/8/2023
L-11866,Tech Frustrated,Healthy,77.748,851.0,9,33,19,0.1126,7,Silver,270,,2/12/2023
L-11880,Digital Ghost,Watchlist,47.22,845.0,3,32,0,0.139,5,Silver,1088,Price_Perception,11/14/2023
L-11989,Loyalty Hoarder,Watchlist,44.282,1001.5,3,32,0,0.2859,7,Silver,2663,Price_Perception,9/15/2023
L-11996,Tech Frustrated,Watchlist,69.708,834.5,10,31,34,0.5146,10,Silver,413,None_Happy,9/16/2024
L-12004,Digital Ghost,Critical,36.864,675.5,12,23,0,0.6568,7,Silver,534,,10/8/2024
L-12016,Tech Frustrated,Healthy,76.79,693.5,0,29,28,0.1605,7,Silver,252,,9/4/2023
L-12018,Loyalty Hoarder,Watchlist,45.366,1433.5,2,34,0,0.2317,7,Base,2461,,7/26/2023
L-12060,Tech Frustrated,Watchlist,60.28,860.0,4,34,36,0.986,5,Silver,1346,Price_Perception,9/2/2023
L-12062,Standard Active,Healthy,79.262,802.0,19,19,18,0.0369,7,Silver,101,,2/8/2023
L-12095,Standard Active,Healthy,71.848,982.0,21,28,19,0.4076,7,Silver,1060,,10/30/2023
L-12110,Tech Frustrated,Healthy,73.44200000000001,1419.0,1,27,28,0.3279,7,Base,687,,7/31/2023
L-12122,Loyalty Hoarder,Critical,38.654,830.5,3,27,0,0.5673,7,Base,2166,,1/8/2024
L-12153,Tech Frustrated,Healthy,77.77,975.5,14,27,18,0.1115,5,Silver,1422,Price_Perception,5/11/2023
L-12162,Loyalty Hoarder,Healthy,77.968,1447.0,21,35,14,0.1016,7,Base,2410,,11/3/2024
L-12166,Loyalty Hoarder,Watchlist,65.042,843.5,6,30,17,0.7479,6,Base,2279,Price_Perception,9/27/2023
L-12186,Digital Ghost,Critical,31.418,1139.0,2,31,0,0.9291,7,Silver,1179,,6/27/2023
L-12201,Digital Ghost,Watchlist,42.644,1413.0,2,24,0,0.3678,7,Base,2919,,6/22/2023
L-12253,Tech Frustrated,Healthy,79.408,1154.0,6,35,11,0.0296,7,Base,552,,10/30/2023
L-12266,Digital Ghost,Watchlist,47.888,1412.5,2,28,0,0.1056,7,Silver,190,,7/2/2023
L-12269,Standard Active,Watchlist,61.102,686.5,8,29,19,0.9449,7,Silver,858,,7/22/2024
L-12270,Tech Frustrated,Watchlist,62.452,1144.0,1,31,18,0.8774,7,Base,574,,10/29/2023
L-12300,Tech Frustrated,Healthy,74.966,1144.5,3,33,22,0.2517,4,Silver,1291,Out_of_Stock,7/6/2024
L-12344,Tech Frustrated,Watchlist,53.561,99.5,10,28,38,0.0657,10,Gold,1495,None_Happy,2/16/2023
L-12363,Digital Ghost,Watchlist,47.914,692.5,2,29,0,0.1043,7,Gold,1873,,9/9/2024
L-12373,Loyalty Hoarder,Healthy,77.028,683.0,15,26,12,0.1486,7,Base,2312,,8/18/2023
L-12374,Digital Ghost,Watchlist,45.282,674.5,1,23,0,0.2359,7,Base,1695,,9/26/2023
L-12423,Digital Ghost,Critical,31.166,970.0,3,26,0,0.9417,7,Silver,619,,2/27/2024
L-12451,Tech Frustrated,Watchlist,64.9,857.5,1,32,31,0.755,7,Silver,1092,,9/22/2023
L-12466,Standard Active,Healthy,77.14,1276.5,8,30,21,0.143,7,Base,997,,3/26/2023
L-12476,Tech Frustrated,Healthy,78.054,672.0,0,25,24,0.0973,7,Base,125,,10/2/2024
L-12495,Fading Champion,Watchlist,61.05,664.0,34,20,29,0.9475,7,Gold,2445,,10/22/2023
L-12500,Digital Ghost,Critical,38.562,978.5,0,26,0,0.5719,7,Silver,717,,4/13/2023
L-12506,Standard Active,Watchlist,67.264,1122.0,13,27,11,0.6368,5,Base,1078,Out_of_Stock,5/20/2024
L-12539,Digital Ghost,Critical,39.352,682.5,18,25,0,0.5324,7,Base,1656,,8/14/2024
L-12542,Tech Frustrated,Healthy,74.602,1578.5,4,30,34,0.2699,10,Base,1255,None_Happy,6/1/2024
L-12583,Standard Active,Watchlist,41.12,690.0,8,27,2,0.744,7,Base,644,,2/8/2024
L-12594,Tech Frustrated,Healthy,74.36,1254.0,21,21,10,0.282,7,Base,1245,,10/14/2024
L-12606,Standard Active,Healthy,75.826,975.0,15,25,17,0.2087,7,Silver,2381,,7/9/2024
L-12619,Tech Frustrated,Healthy,74.804,1170.5,6,38,27,0.2598,5,Base,355,Price_Perception,8/26/2024
L-12656,Digital Ghost,Watchlist,44.138,994.5,11,33,0,0.2931,6,Silver,1048,Price_Perception,1/29/2024
L-12678,Tech Frustrated,Healthy,76.34,685.5,7,27,35,0.183,7,Silver,715,,7/2/2023
L-12680,Tech Frustrated,Healthy,77.48,682.0,17,26,39,0.126,7,Gold,798,,11/27/2023
L-12681,Standard Active,Watchlist,66.184,703.0,2,31,7,0.2408,7,Silver,625,,5/13/2023
L-12685,Standard Active,Healthy,77.83,535.5,7,25,30,0.1085,7,Silver,841,,7/2/2023
L-12699,Tech Frustrated,Watchlist,62.382,984.0,8,29,26,0.8809,7,Silver,697,,6/19/2024
L-12708,Digital Ghost,Watchlist,44.378,1124.0,7,28,0,0.2811,7,Silver,735,,10/22/2023
L-12725,Digital Ghost,Critical,32.286,676.5,21,24,0,0.8857,7,Silver,1104,,7/29/2024
L-12766,Tech Frustrated,Healthy,76.356,707.0,1,33,17,0.1822,9,Base,1457,None_Happy,8/14/2023
L-12775,Tech Frustrated,Healthy,72.036,1143.0,2,31,21,0.3982,7,Silver,1355,,8/28/2023
L-12778,Tech Frustrated,Healthy,78.496,1128.0,8,28,31,0.0752,7,Base,1923,,1/6/2023
L-12791,Tech Frustrated,Healthy,70.28399999999999,811.0,13,22,46,0.4858,5,Base,523,Price_Perception,8/3/2024
L-12866,Fading Champion,Watchlist,63.642,662.0,55,21,14,0.8179000000000001,8,Gold,1336,Out_of_Stock,7/14/2023
L-12940,Digital Ghost,Watchlist,42.724,1437.5,0,31,0,0.3638,6,Base,681,Price_Perception,6/4/2024
L-12942,Tech Frustrated,Healthy,79.564,698.0,0,30,19,0.0218,7,Silver,304,,6/12/2024
L-12967,Tech Frustrated,Healthy,73.492,1610.0,7,39,15,0.3254,7,Silver,1443,,12/25/2023
L-12990,Standard Active,Healthy,76.912,1321.5,3,41,28,0.1544,7,Silver,699,,11/7/2023
L-12994,Tech Frustrated,Healthy,77.146,676.0,15,24,20,0.1427,7,Silver,1344,,3/16/2023
L-12999,Tech Frustrated,Healthy,79.074,1167.5,2,37,29,0.0463,7,Silver,446,,10/22/2024
L-13035,Digital Ghost,Watchlist,44.614,1008.5,13,35,0,0.2693,7,Silver,828,,1/13/2023
L-13043,Digital Ghost,Watchlist,43.546,684.0,11,28,0,0.3227,7,Silver,594,,2/12/2023
L-13047,Loyalty Hoarder,Watchlist,49.352,374.0,21,22,0,0.0324,7,Base,2811,,4/24/2024
L-13075,Tech Frustrated,Healthy,76.30199999999999,1010.5,5,35,24,0.1849,7,Base,664,,4/22/2023
L-13085,Standard Active,Healthy,74.238,543.5,5,29,18,0.2881,7,Silver,1245,,9/1/2024
L-13089,Price Sensitive,Healthy,73.324,530.0,2,25,25,0.3338,7,Base,1097,Price_Perception,10/12/2024
L-13115,Tech Frustrated,Healthy,79.532,1127.5,0,28,29,0.0234,7,Base,452,,10/15/2024
L-13117,Loyalty Hoarder,Watchlist,47.09,676.0,3,24,0,0.1455,6,Silver,2450,Price_Perception,5/19/2024
L-13129,Standard Active,Healthy,76.68,1447.5,2,36,15,0.166,7,Base,414,,10/26/2023
L-13145,Tech Frustrated,Healthy,77.04,509.5,2,19,24,0.148,7,Silver,638,,10/2/2024
L-13183,Tech Frustrated,Watchlist,66.718,378.5,4,25,19,0.6641,3,Silver,1186,Out_of_Stock,5/26/2024
L-13192,Tech Frustrated,Healthy,78.418,1758.0,7,37,38,0.0791,7,Base,953,,12/7/2023
L-13195,Tech Frustrated,Watchlist,64.388,960.5,1,24,25,0.7806,2,Silver,627,App_Technical_Issue,10/15/2024
L-13213,Tech Frustrated,Healthy,78.326,686.5,13,27,23,0.0837,7,Silver,2602,,9/23/2024
L-13217,Standard Active,Watchlist,67.884,1117.0,8,25,21,0.6058,7,Silver,1386,,1/28/2023
L-13219,Digital Ghost,Critical,36.928,552.0,0,30,0,0.6536,7,Base,745,,11/8/2023
L-13283,Tech Frustrated,Healthy,73.58,826.0,0,27,17,0.321,7,Silver,208,,10/8/2024
L-13290,Tech Frustrated,Healthy,74.398,1110.5,11,22,29,0.2801,7,Silver,948,,4/7/2024
L-13292,Digital Ghost,Watchlist,41.582,850.0,7,33,0,0.4209,7,Silver,875,,4/5/2024
L-13309,Tech Frustrated,Healthy,73.542,694.5,21,27,12,0.3229,9,Gold,1879,None_Happy,11/3/2024
L-13320,Tech Frustrated,Healthy,78.836,1285.0,8,30,10,0.0582,7,Silver,1767,,2/15/2024
L-13347,Digital Ghost,Watchlist,46.502,1119.0,4,25,0,0.1749,7,Base,1788,,6/18/2024
L-13394,Loyalty Hoarder,Watchlist,43.516,1261.5,10,26,0,0.3242,7,Silver,2804,,4/26/2024
L-13420,Tech Frustrated,Healthy,76.328,547.5,3,32,37,0.1836,7,Base,1200,,1/4/2023
L-13467,Standard Active,Healthy,71.778,970.5,9,27,10,0.4111,7,Silver,75,,9/26/2024
L-13480,Tech Frustrated,Watchlist,69.398,821.5,20,23,18,0.5301,1,Base,1368,App_Technical_Issue,10/17/2024
L-13505,Standard Active,Watchlist,66.392,528.0,10,23,35,0.6804,7,Silver,1764,,9/28/2024
L-13511,Standard Active,Watchlist,65.352,837.0,9,29,22,0.7324,7,Silver,657,,12/5/2023
L-13524,Loyalty Hoarder,Healthy,73.696,981.5,2,28,22,0.3152,7,Base,2257,,4/18/2023
L-13542,Standard Active,Healthy,78.406,1013.5,5,36,22,0.0797,7,Silver,1028,,1/15/2024
L-13560,Tech Frustrated,Healthy,73.186,823.5,2,24,25,0.3407,7,Gold,100,,12/31/2023
L-13563,Tech Frustrated,Healthy,72.77,686.5,17,25,17,0.3615,7,Base,1077,Price_Perception,9/11/2024
L-13572,Standard Active,Healthy,76.986,1127.0,6,28,27,0.1507,7,Silver,1631,,11/15/2023
L-13617,Tech Frustrated,Healthy,76.706,1016.0,7,36,13,0.1647,7,Silver,440,,4/21/2023
L-13629,Tech Frustrated,Watchlist,61.386,833.5,0,28,15,0.9307,7,Base,1955,,1/26/2023
L-13656,Standard Active,Healthy,73.082,711.5,0,34,42,0.3459,7,Base,667,,7/20/2023
L-13666,Loyalty Hoarder,Healthy,79.688,684.0,4,27,33,0.0156,7,Silver,2516,,9/7/2024
L-13680,Digital Ghost,Watchlist,48.798,1030.0,10,39,0,0.0601,7,Base,1327,,5/25/2024
L-13687,Standard Active,Healthy,78.4,561.5,5,31,32,0.08,7,Silver,1030,,11/22/2024
L-13698,Fading Champion,Watchlist,63.474,1398.5,24,21,14,0.8263,4,Silver,219,App_Technical_Issue,8/19/2024
L-13699,Tech Frustrated,Healthy,72.6,1431.0,5,29,28,0.37,5,Base,677,Price_Perception,2/24/2024
L-13701,Tech Frustrated,Healthy,70.984,838.0,4,27,25,0.4508,7,Silver,891,,6/7/2023
L-13703,Tech Frustrated,Healthy,74.69,252.0,4,28,23,0.2655,7,Base,235,,1/15/2024
L-13726,Tech Frustrated,Healthy,73.528,1131.0,0,31,21,0.3236,6,Base,910,Staff_Helpfulness,9/10/2023
L-13732,Loyalty Hoarder,Watchlist,47.29,530.0,11,24,0,0.1355,7,Base,2156,,9/6/2023
L-13745,Digital Ghost,Watchlist,48.13,692.0,14,28,0,0.0935,7,Silver,526,,2/2/2024
L-13748,Digital Ghost,Watchlist,45.646,1130.0,3,28,0,0.2177,7,Silver,587,,7/6/2023
L-13768,Digital Ghost,Watchlist,49.178,675.5,0,25,0,0.0411,7,Silver,1165,Staff_Helpfulness,3/26/2024
L-13823,Standard Active,Healthy,73.234,1589.5,15,34,13,0.3383,7,Gold,1620,,2/15/2023
L-13853,Tech Frustrated,Watchlist,65.784,1138.5,4,29,6,0.1108,7,Base,792,,5/25/2023
L-13859,Tech Frustrated,Healthy,77.948,1142.0,2,31,28,0.1026,7,Base,246,,3/5/2024
L-13860,Loyalty Hoarder,Healthy,75.922,1423.5,10,28,18,0.2039,7,Base,2550,,4/3/2024
L-13871,Digital Ghost,Watchlist,41.838,558.5,8,33,0,0.4081,7,Silver,1513,,4/5/2023
L-13875,Loyalty Hoarder,Watchlist,45.628,839.5,3,28,0,0.2186,7,Base,2273,,4/27/2024
L-13903,Digital Ghost,Watchlist,47.852,677.0,5,23,0,0.1074,7,Base,216,,7/13/2024
L-13916,Digital Ghost,Watchlist,49.612,1139.5,9,33,0,0.0194,7,Silver,308,,2/18/2024
L-13923,Tech Frustrated,Watchlist,68.132,823.5,15,24,19,0.5934,7,Base,2184,,10/11/2023
L-13926,Loyalty Hoarder,Watchlist,43.489999999999995,1151.0,1,35,0,0.3255,7,Base,2888,,11/29/2024
L-13939,Tech Frustrated,Healthy,77.09,665.5,1,22,26,0.1455,7,Silver,2007,,2/9/2024
L-13987,Digital Ghost,Watchlist,47.602,723.0,1,33,0,0.1199,7,Base,1203,,11/19/2023
L-14033,Fading Champion,Healthy,78.18,821.0,29,26,31,0.091,7,Base,1521,,8/22/2023
L-14034,Standard Active,Healthy,75.246,1585.5,3,32,20,0.2377,7,Base,1818,,1/21/2023
L-14057,Digital Ghost,Critical,31.99,992.0,5,30,0,0.9005,7,Gold,572,,6/30/2023
L-14068,Tech Frustrated,Watchlist,65.112,1273.0,10,27,19,0.7444,6,Base,891,Price_Perception,12/18/2023
L-14069,Loyalty Hoarder,Healthy,75.356,1120.5,6,26,23,0.2322,7,Base,2348,,2/9/2024
L-14187,Tech Frustrated,Healthy,75.276,1272.5,3,28,26,0.2362,3,Silver,319,Out_of_Stock,8/17/2023
L-14207,Digital Ghost,Critical,38.824,848.0,13,31,0,0.5588,7,Silver,389,,6/7/2023
L-14214,Tech Frustrated,Watchlist,65.002,507.5,7,17,9,0.5999,1,Silver,135,App_Technical_Issue,12/1/2023
L-14223,Loyalty Hoarder,Healthy,76.234,1278.5,15,29,13,0.1883,7,Base,2658,,9/16/2023
L-14259,Loyalty Hoarder,Watchlist,46.354,1124.0,11,27,0,0.1823,7,Base,3310,,9/18/2024
L-14348,Digital Ghost,Critical,31.772,1107.0,15,24,0,0.9114,7,Silver,77,,3/3/2023
L-14352,Digital Ghost,Critical,39.736,825.0,1,25,0,0.5132,7,Silver,457,,8/8/2024
L-14364,Fading Champion,Watchlist,62.592,843.5,24,30,8,0.5704,7,Silver,1143,,5/10/2023
L-14365,Digital Ghost,Watchlist,43.796,665.0,2,22,0,0.3102,7,Silver,722,,10/9/2024
L-14375,Loyalty Hoarder,Watchlist,46.562,682.5,5,26,0,0.1719,7,Silver,2018,,4/12/2023
L-14379,Tech Frustrated,Healthy,75.384,1154.0,7,35,29,0.2308,7,Silver,1222,,7/7/2023
L-14400,Digital Ghost,Critical,38.746,677.0,10,25,0,0.5627,7,Silver,2266,,5/12/2023
L-14425,Standard Active,Healthy,74.764,972.5,1,26,26,0.2618,7,Silver,536,,5/3/2023
L-14436,Tech Frustrated,Watchlist,66.996,841.5,5,29,35,0.6502,0,Silver,1393,App_Technical_Issue,4/24/2024
L-14457,Standard Active,Healthy,76.406,1286.0,0,31,36,0.1797,7,Base,164,,1/14/2023
L-14466,Loyalty Hoarder,Healthy,77.744,400.0,3,25,16,0.1128,7,Silver,3229,,1/12/2024
L-14469,Tech Frustrated,Watchlist,65.134,682.0,6,25,33,0.7433,7,Silver,1736,,4/9/2023
L-14473,Digital Ghost,Critical,35.674,380.5,6,24,0,0.7163,7,Base,502,,6/26/2024
L-14477,Standard Active,Healthy,78.078,1128.5,4,28,21,0.0961,7,Silver,919,,1/19/2024
L-14498,Loyalty Hoarder,Healthy,77.496,2027.5,4,33,31,0.1252,7,Base,2029,,5/19/2024
L-14502,Tech Frustrated,Watchlist,65.5,821.5,0,24,27,0.725,7,Base,378,,2/23/2024
L-14514,Tech Frustrated,Watchlist,60.2,824.0,6,23,18,0.99,4,Silver,645,App_Technical_Issue,11/20/2023
L-14515,Tech Frustrated,Healthy,79.44,964.5,7,23,18,0.028,7,Silver,2591,,3/12/2024
L-14533,Loyalty Hoarder,Watchlist,46.768,675.5,7,24,0,0.1616,6,Silver,3749,Price_Perception,10/16/2024
L-14560,Tech Frustrated,Watchlist,60.2,838.0,1,27,19,0.99,4,Base,880,App_Technical_Issue,2/21/2023
L-14561,Fading Champion,Watchlist,64.666,965.5,40,24,5,0.0167,7,Base,3371,,11/18/2023
L-14581,Standard Active,Healthy,75.086,384.5,17,23,23,0.2457,7,Gold,218,,4/16/2024
L-14617,Tech Frustrated,Healthy,75.952,540.0,10,25,31,0.2024,7,Silver,1720,,2/21/2024
L-14640,Digital Ghost,Watchlist,45.322,813.5,0,24,0,0.2339,7,Silver,531,,5/7/2023
